Restaurant_Name,City,Restaurant_ID,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Country_Code
Le Petit Souffle,Makati City,6317637,Yes,No,No,162
Izakaya Kikufuji,Makati City,6304287,Yes,No,No,162
Heat - Edsa Shangri-La,Mandaluyong City,6300002,Yes,No,No,162
Ooma,Mandaluyong City,6318506,No,No,No,162
Sambo Kojin,Mandaluyong City,6314302,Yes,No,No,162
Din Tai Fung,Mandaluyong City,18189371,No,No,No,162
Buffet 101,Pasay City,6300781,Yes,No,No,162
Vikings,Pasay City,6301290,Yes,No,No,162
Spiral - Sofitel Philippine Plaza Manila,Pasay City,6300010,Yes,No,No,162
Locavore,Pasig City,6314987,Yes,No,No,162
Silantro Fil-Mex,Pasig City,6309903,No,No,No,162
Mad Mark's Creamery & Good Eats,Pasig City,6309455,Yes,No,No,162
Silantro Fil-Mex,Quezon City,6318433,No,No,No,162
Guevarra's,San Juan City,6310470,Yes,No,No,162
Sodam Korean Restaurant,San Juan City,6314605,No,No,No,162
Cafe Arabelle,Santa Rosa,18185059,No,No,No,162
Nonna's Pasta & Pizzeria,Santa Rosa,18182702,No,No,No,162
Balay Dako,Tagaytay City,6318213,Yes,No,No,162
Hobing Korean Dessert Cafe,Taguig City,18255654,No,No,No,162
Wildflour Cafe + Bakery,Taguig City,6308205,Yes,No,No,162
NIU by Vikings,Taguig City,6315438,Yes,No,No,162
The Food Hall by Todd English,Taguig City,6310406,Yes,No,No,162
Chez Michou,Brasí_lia,6600681,No,No,No,30
Cafí© Daniel Briand,Brasí_lia,6601005,No,No,No,30
Casa do Biscoito Mineiro,Brasí_lia,6600292,No,No,No,30
Maori,Brasí_lia,6600441,No,No,No,30
Pizza íæ Bessa,Brasí_lia,6600970,No,No,No,30
Sushi Loko,Brasí_lia,6600379,No,No,No,30
Beirute,Brasí_lia,6600214,No,No,No,30
New Koto,Brasí_lia,6601218,No,No,No,30
Sandubas Cafí©,Brasí_lia,6600060,No,No,No,30
Villa Tevere,Brasí_lia,6600083,No,No,No,30
Rovereto,Brasí_lia,6601515,No,No,No,30
Buena Carne,Brasí_lia,6601361,No,No,No,30
Taco Pep,Brasí_lia,6601602,No,No,No,30
Coco Bambu,Brasí_lia,6601589,No,No,No,30
Taypíç,Brasí_lia,6601862,No,No,No,30
Outback Steakhouse,Brasí_lia,6601595,No,No,No,30
Manzuíç,Brasí_lia,6601158,No,No,No,30
Coco Bambu,Brasí_lia,6600427,No,No,No,30
Gero,Brasí_lia,6600116,No,No,No,30
Brazilian American Burgers,Brasí_lia,6601457,No,No,No,30
Pesqueiro Eco Gourmet,Rio de Janeiro,7303219,No,No,No,30
Confeitaria Colombo,Rio de Janeiro,7304307,No,No,No,30
Bibi,Rio de Janeiro,7301215,No,No,No,30
Cervantes,Rio de Janeiro,7300596,No,No,No,30
Amir,Rio de Janeiro,7300612,No,No,No,30
TT Burger,Rio de Janeiro,7300704,No,No,No,30
Braseiro da Gíçvea,Rio de Janeiro,7300955,No,No,No,30
Balada Mix,Rio de Janeiro,7300521,No,No,No,30
Garota de Ipanema,Rio de Janeiro,7300515,No,No,No,30
Zazíç BistríÇ Tropical,Rio de Janeiro,7300483,No,No,No,30
Filí© de Ouro,Rio de Janeiro,7301064,No,No,No,30
D.O.C Ristorante,Rio de Janeiro,7304312,No,No,No,30
Sushi Leblon,Rio de Janeiro,7300004,No,No,No,30
Talho Capixaba,Rio de Janeiro,7300868,No,No,No,30
Leme Light,Rio de Janeiro,7302637,No,No,No,30
Shirley,Rio de Janeiro,7302140,No,No,No,30
Quiosque Chopp Brahma,Rio de Janeiro,7305048,No,No,No,30
Aprazí_vel,Rio de Janeiro,7302898,No,No,No,30
Aconchego Carioca,Rio de Janeiro,7302859,No,No,No,30
Garota de Ipanema,Rio de Janeiro,7301700,No,No,No,30
Cantina Famiglia Mancini,Sí£o Paulo,6706313,No,No,No,30
Templo da Carne - Marcos Bassi,Sí£o Paulo,6704326,No,No,No,30
Gopala Hari,Sí£o Paulo,6711179,No,No,No,30
Jiquitaia,Sí£o Paulo,6702797,No,No,No,30
Skye - Hotel Unique,Sí£o Paulo,6700475,No,No,No,30
Les 3 Brasseurs,Sí£o Paulo,6713413,No,No,No,30
Red Steak & Burger,Sí£o Paulo,6714340,No,No,No,30
Cantinho da Gula,Sí£o Paulo,6710645,No,No,No,30
Paris 6 Classique,Sí£o Paulo,6700402,No,No,No,30
Kawa Sushi,Sí£o Paulo,6700846,No,No,No,30
A Figueira Rubaiyat,Sí£o Paulo,6702159,No,No,No,30
Kinoshita,Sí£o Paulo,6711666,No,No,No,30
Meats,Sí£o Paulo,6701257,No,No,No,30
Paribar,Sí£o Paulo,6706211,No,No,No,30
Terraí_o Itíçlia,Sí£o Paulo,6705858,No,No,No,30
Divino Fogí£o,Sí£o Paulo,6701419,No,No,No,30
Super Grill,Sí£o Paulo,6703956,No,No,No,30
Esquina Mocotí_,Sí£o Paulo,6709580,No,No,No,30
Veloso,Sí£o Paulo,6703176,No,No,No,30
Sainte Marie Gastronomia,Sí£o Paulo,6713772,No,No,No,30
Austin's BBQ and Oyster Bar,Albany,17284404,No,No,No,216
BJ's Country Buffet,Albany,17284203,No,No,No,216
Cookie Shoppe,Albany,17284105,No,No,No,216
El Vaquero Mexican Restaurant,Albany,17284302,No,No,No,216
Elements Coffee Co - Northwest,Albany,17284397,No,No,No,216
Pearly's Famous Country Cookng,Albany,17284211,No,No,No,216
Chick-fil-A,Albany,17284094,No,No,No,216
Guang Zhou Chinese Restaurant,Albany,17284409,No,No,No,216
Harvest Moon,Albany,17284139,No,No,No,216
Henry Campbell's Steakhouse,Albany,17284403,No,No,No,216
Hong Kong Cafe,Albany,17284145,No,No,No,216
House of China Restaurant II,Albany,17284150,No,No,No,216
Jimmie's Hot Dogs,Albany,17284158,No,No,No,216
Locos Grill & Pub,Albany,17284175,No,No,No,216
Longhorn Steakhouse,Albany,17284179,No,No,No,216
Mikata Japanese Steakhouse,Albany,17284197,No,No,No,216
Shogun Japanese Steak House,Albany,17284241,No,No,No,216
The Catch Seafood Room & Oyster Bar,Albany,17284390,No,No,No,216
Villa Gargano,Albany,17284279,No,No,No,216
3 Squares Diner,Albany,17284364,No,No,No,216
Whitebull Hotel,Armidale,16611114,No,No,No,14
Last Resort Grill,Athens,17293281,No,No,No,216
Mama's Boy Restaurant,Athens,17293301,No,No,No,216
Sr. Sol 1,Athens,17293409,No,No,No,216
Choo Choo Eastside,Athens,17293163,No,No,No,216
The Grill,Athens,17293228,No,No,No,216
Big City Bread Cafe,Athens,17293880,No,No,No,216
Clocked,Athens,17293169,No,No,No,216
DePalma's Italian Cafe - Downtown,Athens,17293186,No,No,No,216
DePalma's Italian Cafe - East Side,Athens,17293180,No,No,No,216
Five & Ten,Athens,17293205,No,No,No,216
Grit,Athens,17293229,No,No,No,216
Ike & Jane,Athens,17293897,No,No,No,216
La Dolce Vita Ristorante,Athens,17293273,No,No,No,216
Shokitini,Athens,17293870,No,No,No,216
Taqueria Del Sol,Athens,17293877,No,No,No,216
The National,Athens,17293890,No,No,No,216
The Royal Peasant,Athens,17293915,No,No,No,216
Transmetropolitan,Athens,17293422,No,No,No,216
Trappeze Pub,Athens,17293873,No,No,No,216
Viva! Argentine Cuisine,Athens,17294014,No,No,No,216
Miyabi Kyoto Japanese Steak House,Augusta,17294556,No,No,No,216
Rae's Coastal Cafe,Augusta,17294607,No,No,No,216
The Bee's Knees,Augusta,17294279,No,No,No,216
Boll Weevil Cafe,Augusta,17294300,No,No,No,216
Farmhaus Burger,Augusta,17295215,No,No,No,216
Manuel's Bread Cafe,Augusta,17295028,No,No,No,216
Sconyers Bar B Que,Augusta,17294642,No,No,No,216
Frog Hollow Tavern,Augusta,17295109,No,No,No,216
Giuseppe's Pizza & Italian Specialities,Augusta,17294441,No,No,No,216
Mellow Mushroom,Augusta,17294552,No,No,No,216
Nacho Mamas Burritos,Augusta,17294565,No,No,No,216
Rhinehart's Oyster Bar,Augusta,17294623,No,No,No,216
Takosushi,Augusta,17294712,No,No,No,216
The Chop House,Augusta,17295033,No,No,No,216
The Taj of India,Augusta,17295069,No,No,No,216
Augsburg Haus,Augusta,17294261,No,No,No,216
Pho Bac,Augusta,17295115,No,No,No,216
Rhinehart's Oyster Bar,Augusta,17294836,No,No,No,216
Thai Kitchen,Augusta,17294850,No,No,No,216
El Kiosco Mexican Restaurant,Augusta,17294883,No,No,No,216
Taste of Balingup,Balingup,16608864,No,No,No,14
Bridge Road Brewers,Beechworth,16604911,No,No,No,14
Bardenay,Boise,17303465,No,No,No,216
Flatbread Neapolitan Pizzeria,Boise,17303642,No,No,No,216
Goldy's Breakfast Bistro,Boise,17303670,No,No,No,216
Chandlers Steakhouse,Boise,17303545,No,No,No,216
Bar Gernika Basque Pub & Eatery,Boise,17303655,No,No,No,216
Barbacoa Restaurant,Boise,17304691,No,No,No,216
Big Jud's,Boise,17303478,No,No,No,216
Bittercreek Ale House,Boise,17303480,No,No,No,216
Boise Fry Company,Boise,17304733,No,No,No,216
Flying Pie Pizzaria,Boise,17303646,No,No,No,216
Fork,Boise,17304929,No,No,No,216
Guido's Original New York Style Pizza,Boise,17303684,No,No,No,216
Los Beto's,Boise,17303772,No,No,No,216
Lucianos Italian Restaurant,Boise,17305123,No,No,No,216
Mai Thai Restaurant,Boise,17303787,No,No,No,216
Shige Japanese Cuisine,Boise,17303990,No,No,No,216
The Egg Factory,Boise,17304741,No,No,No,216
Tucanos,Boise,17304726,No,No,No,216
Texas Roadhouse,Boise,17304486,No,No,No,216
Brick 29,Boise,17304533,No,No,No,216
Winifreds,Cedar Rapids/Iowa City,17316233,No,No,No,216
Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,17315883,No,No,No,216
El Super Burrito,Cedar Rapids/Iowa City,17315995,No,No,No,216
Granite City Food & Brewery,Cedar Rapids/Iowa City,17316018,No,No,No,216
Irish Democrat,Cedar Rapids/Iowa City,17316038,No,No,No,216
Taste of India,Cedar Rapids/Iowa City,17316771,No,No,No,216
Thai Moon Restaurant,Cedar Rapids/Iowa City,17316201,No,No,No,216
Ting's Red Lantern,Cedar Rapids/Iowa City,17316208,No,No,No,216
Monica's,Cedar Rapids/Iowa City,17316389,No,No,No,216
Exotic India,Cedar Rapids/Iowa City,17316278,No,No,No,216
Shorts Burger and Shine,Cedar Rapids/Iowa City,17316744,No,No,No,216
The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,17316751,No,No,No,216
Bluebird Diner,Cedar Rapids/Iowa City,17316766,No,No,No,216
Graze,Cedar Rapids/Iowa City,17316743,No,No,No,216
A & A Pagliai's Pizza,Cedar Rapids/Iowa City,17316374,No,No,No,216
Atlas World Grill,Cedar Rapids/Iowa City,17316381,No,No,No,216
BlackStone,Cedar Rapids/Iowa City,17316802,No,No,No,216
Devotay,Cedar Rapids/Iowa City,17316416,No,No,No,216
Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,17316449,No,No,No,216
Zoeys Pizzeria,Cedar Rapids/Iowa City,17316603,No,No,No,216
Tokyo Sushi,Chatham-Kent,16659169,No,No,No,37
Berry Patch Restaurant,Clatskanie,17558684,No,No,No,216
Sakura Sushi & Grill,Cochrane,18366580,No,No,No,216
Uptown Vietnam cuisine,Columbus,17330755,No,No,No,216
Cafe Le Rue @ The Landings,Columbus,17330611,No,No,No,216
Mark's City Grille,Columbus,17330609,No,No,No,216
B Merrell's,Columbus,17330024,No,No,No,216
Cannon Brewpub,Columbus,17330074,No,No,No,216
Fuji Japanese Steak House,Columbus,17330185,No,No,No,216
Ruth Ann's Family Restaurant,Columbus,17330397,No,No,No,216
Samurai Japanese Cuisine & Sushi Bar,Columbus,17330735,No,No,No,216
Wasabi Sushi and Thai,Columbus,17330676,No,No,No,216
Buckhead Bar and Grill,Columbus,17330048,No,No,No,216
Burt's Butcher Shoppe and Eatery,Columbus,17330604,No,No,No,216
Chef Lee's Peking Restaurant,Columbus,17330087,No,No,No,216
Country's Barbecue,Columbus,17330137,No,No,No,216
Deorio's,Columbus,17330155,No,No,No,216
Mellow Mushroom,Columbus,17330309,No,No,No,216
Meritage,Columbus,17330311,No,No,No,216
Mongo The Mongolian Fire Pit,Columbus,17330615,No,No,No,216
The Black Cow,Columbus,17330638,No,No,No,216
Wood Stone,Columbus,17330628,No,No,No,216
Hunter's Pub,Columbus,17330546,No,No,No,216
Consort Restaurant,Consort,16643459,No,No,No,37
Thatcher's Barbeque and Grill,Dalton,17334434,No,No,No,216
Christian and Jake's Bistro,Dalton,17334348,No,No,No,216
Dub's High on the Hog,Dalton,17334213,No,No,No,216
Sierra's Mexican Restaurant,Dalton,17334355,No,No,No,216
Oakwood Cafe,Dalton,17334212,No,No,No,216
Chili's Grill & Bar,Dalton,17333797,No,No,No,216
Fuji Japanese Steakhouse,Dalton,17334217,No,No,No,216
Las Palmas,Dalton,17334273,No,No,No,216
Tony's Italian Restaurant & Pizza,Dalton,17334254,No,No,No,216
Filling Station,Dalton,17333836,No,No,No,216
Five Guys Burgers and Fries,Dalton,17334197,No,No,No,216
Los Pablos,Dalton,17333882,No,No,No,216
Kobe Hibachi & Sushi,Dalton,17334211,No,No,No,216
Soho Hibachi,Dalton,17334390,No,No,No,216
Thai Garden,Dalton,17334034,No,No,No,216
Southern Bliss Bakery,Dalton,17334414,No,No,No,216
Bailey's Bar-B-Que,Dalton,17334082,No,No,No,216
Farm To Fork,Dalton,17334364,No,No,No,216
Home Plate Grill,Dalton,17334398,No,No,No,216
Pie Slingers Pizzeria,Dalton,17334219,No,No,No,216
Olive Tree Cafe,Davenport,17335173,No,No,No,216
"Red Ginger Sushi, Grill & Bar",Davenport,17335195,No,No,No,216
Crust Stone Oven Pizza,Davenport,17335225,No,No,No,216
Jimmy's Pancake House,Davenport,17335219,No,No,No,216
Trattoria Tiramisu,Davenport,17334965,No,No,No,216
Prairie Grille at SteepleGate Inn,Davenport,17335189,No,No,No,216
Tantra Asian Bistro,Davenport,17335156,No,No,No,216
Chick-fil-A,Davenport,17334717,No,No,No,216
Duck City Bistro,Davenport,17334752,No,No,No,216
Frick's Tap,Davenport,18453427,No,No,No,216
Los Agaves,Davenport,17793744,No,No,No,216
Azteca,Davenport,17334679,No,No,No,216
China Cafe,Davenport,17334718,No,No,No,216
Exotic Thai Restaurant,Davenport,17334763,No,No,No,216
Front Street Brewery,Davenport,17335158,No,No,No,216
Granite City Food & Brewery,Davenport,17334782,No,No,No,216
Los Agaves,Davenport,17334846,No,No,No,216
Machine Shed Restaurant,Davenport,17334853,No,No,No,216
Osaka,Davenport,17335168,No,No,No,216
Texas Roadhouse,Davenport,17334958,No,No,No,216
Hickory Park,Des Moines,17258496,No,No,No,216
The Cafe,Des Moines,17259395,No,No,No,216
Flying Mango,Des Moines,17258350,No,No,No,216
Cool Basil,Des Moines,17258136,No,No,No,216
HuHot Mongolian Grill,Des Moines,17258522,No,No,No,216
Malo,Des Moines,17259958,No,No,No,216
Centro,Des Moines,17258036,No,No,No,216
Fong's Pizza,Des Moines,17259368,No,No,No,216
A Dong Restaurant,Des Moines,17257684,No,No,No,216
Court Avenue Brewing Company,Des Moines,17258154,No,No,No,216
Django,Des Moines,17259340,No,No,No,216
Miyabi 9,Des Moines,17259243,No,No,No,216
Zombie Burger + Drink Lab,Des Moines,17259625,No,No,No,216
Tursi's Latin King,Des Moines,17259169,No,No,No,216
Tsing Tsao South,Des Moines,17259166,No,No,No,216
Bandit Burrito,Des Moines,17259335,No,No,No,216
Jethro's BBQ,Des Moines,17259248,No,No,No,216
The Machine Shed Restaurant,Des Moines,17258552,No,No,No,216
Mi Patria,Des Moines,17259550,No,No,No,216
Waterfront Seafood Market,Des Moines,17259200,No,No,No,216
The Giggling Goat,Dicky Beach,16615894,No,No,No,14
Burnt Toast Cafe,Dubuque,17342816,No,No,No,216
Catfish Charlie's,Dubuque,17342498,No,No,No,216
Salsa's Mexican Restaurant,Dubuque,17342648,No,No,No,216
Tony Roma's,Dubuque,17342781,No,No,No,216
Vinny Vanucchi's,Dubuque,17342799,No,No,No,216
Champps Americana,Dubuque,17342772,No,No,No,216
Fiesta Cancun,Dubuque,17342771,No,No,No,216
Happy Joe's Pizza & Ice Cream,Dubuque,17342548,No,No,No,216
Houlihan's,Dubuque,17342556,No,No,No,216
Ichiban Hibachi Steakhouse & Sushi Bar,Dubuque,17342811,No,No,No,216
Kalmes Breaktime Bar & Grill,Dubuque,17342576,No,No,No,216
L. May Eatery,Dubuque,17342770,No,No,No,216
Los Aztecas,Dubuque,17342585,No,No,No,216
Manna Java World Cafe,Dubuque,17342494,No,No,No,216
Mario's Italian Restaurant,Dubuque,17342594,No,No,No,216
Pepper Sprout Incorporated,Dubuque,17342625,No,No,No,216
Shot Tower Inn,Dubuque,17342652,No,No,No,216
Sunshine Family Restaurant,Dubuque,17342665,No,No,No,216
Watershed Cafe,Dubuque,17342810,No,No,No,216
Woodfire Grille,Dubuque,17342775,No,No,No,216
The Belle General,East Ballina,16612028,No,No,No,14
Jehova es Mi Pastor Tacos y Burritos,Fernley,17536645,No,No,No,216
Flaxton Gardens,Flaxton,16613507,No,No,No,14
Bespoke Harvest,Forrest,16607969,No,No,No,14
Houndstooth Grill & Tavern,Gainesville,17374405,No,No,No,216
Hawg Wild BBQ & Catfish House,Gainesville,17375060,No,No,No,216
Bourbon Street Grille,Gainesville,17375164,No,No,No,216
Corkscrew Cafe,Gainesville,17374552,No,No,No,216
Smokin Gold BBQ,Gainesville,17375078,No,No,No,216
Hoka-Hoka Japanese Steak & Sushi,Gainesville,17375049,No,No,No,216
Shenanigan's Irish Pub,Gainesville,17375077,No,No,No,216
Fish Tales Lakeside Grille,Gainesville,17375141,No,No,No,216
Antebellum,Gainesville,17375198,No,No,No,216
Moonie's Texas Barbecue,Gainesville,17375180,No,No,No,216
Atlanta Highway Seafood Market,Gainesville,17375072,No,No,No,216
Eat at Thai,Gainesville,17375047,No,No,No,216
Smoke House BBQ and Catering,Gainesville,17375074,No,No,No,216
2 Dog,Gainesville,17374921,No,No,No,216
Longstreet Cafe,Gainesville,17374819,No,No,No,216
Re-Cess,Gainesville,17375089,No,No,No,216
Bodensee,Gainesville,17375214,No,No,No,216
Hofer's Bakery & Cafe,Gainesville,17374951,No,No,No,216
Troll Tavern,Gainesville,17374978,No,No,No,216
The Nacoochee Village Tavern & Pizzeria,Gainesville,17375104,No,No,No,216
Blue Bean Love Cafe,Hepburn Springs,16604358,No,No,No,14
La Trattoria of Lavandula,Hepburn Springs,16604896,No,No,No,14
5 Little Pigs,Huskisson,16612550,No,No,No,14
Beach Box Cafe,Inverloch,16606299,No,No,No,14
Funkey Monkey,Lakes Entrance,16605794,No,No,No,14
Burger Queen Drive In,Lakeview,17557488,No,No,No,216
Blue Orchid Thai Restaurant,Lincoln,17452342,No,No,No,216
Stillwater on Belmore,Lorn,16611498,No,No,No,14
Mr.,Macedon,17842104,No,No,No,14
Emilio's Cuban Cafe,Macon,17501291,No,No,No,216
Ingleside Village Pizza,Macon,17500759,No,No,No,216
Jim Shaw's Seafood Grill & Bar,Macon,17500767,No,No,No,216
Mandarin Chinese Restaurant,Macon,17500819,No,No,No,216
Rookery,Macon,17500911,No,No,No,216
Dovetail,Macon,17501439,No,No,No,216
Bonefish Grill,Macon,17501279,No,No,No,216
Downtown Grill,Macon,17500695,No,No,No,216
Greek Corner Deli,Macon,17501298,No,No,No,216
Natalia's,Macon,17500847,No,No,No,216
Papouli's Mediterranean Cafe & Market,Macon,17500872,No,No,No,216
Benson's Steak and Sushi,Macon,17501315,No,No,No,216
My Fathers Place,Macon,17501201,No,No,No,216
Sushi Thai Restaurant,Macon,17501247,No,No,No,216
The Mellow Mushroom,Macon,17501281,No,No,No,216
El Jalisciense Mexican Restaurant,Macon,17501143,No,No,No,216
Greek Village,Macon,17501292,No,No,No,216
Martin's BBQ,Macon,17501308,No,No,No,216
Thai Pepper,Macon,17501301,No,No,No,216
Zen Japanese Steakhouse and Sushi Bar,Macon,17501268,No,No,No,216
Star Buffet,Mayfield,16611701,No,No,No,14
Triangle Restaurant,Mc Millan,17482142,No,No,No,216
Three Anchors,Middleton Beach,16609169,No,No,No,14
HI Lite Bar & Lounge,Miller,17606621,No,No,No,216
Vince's Restaurant & Pizzeria,Monroe,17687832,No,No,No,216
Poets Cafe,Montville,16613059,No,No,No,14
The Artesian Restaurant,Ojo Caliente,17534788,No,No,No,216
Ceví_che Tapas Bar & Restaurant,Orlando,17061237,No,No,No,216
Ohana,Orlando,17057397,No,No,No,216
Earl of Sandwich,Orlando,17058534,No,No,No,216
Raglan Road Irish Pub and Restaurant,Orlando,17060320,No,No,No,216
Cafí© Tu Tu Tango,Orlando,17057925,No,No,No,216
Texas de Brazil,Orlando,17060869,No,No,No,216
Bahama Breeze Island Grille,Orlando,17057591,No,No,No,216
Maggiano's Little Italy,Orlando,17059541,No,No,No,216
Hawkers Asian Street Fare,Orlando,17064266,No,No,No,216
Tako Cheena by Pom Pom,Orlando,17064405,No,No,No,216
Seasons 52 Fresh Grill,Orlando,17060516,No,No,No,216
Hollerbach's Willow Tree Cafí©,Orlando,17059012,No,No,No,216
Pom Pom's Teahouse and Sandwicheria,Orlando,17061296,No,No,No,216
Yellow Dog Eats,Orlando,17061205,No,No,No,216
Tibby's New Orleans Kitchen,Orlando,17064031,No,No,No,216
The Coop,Orlando,17066603,No,No,No,216
Bosphorous Turkish Cuisine,Orlando,17057797,No,No,No,216
Ethos Vegan Kitchen,Orlando,17061253,No,No,No,216
Hillstone,Orlando,17059060,No,No,No,216
The Ravenous Pig,Orlando,17061231,No,No,No,216
Vivo Bar and Grill,Palm Cove,16613649,No,No,No,14
Pier 70,Paynesville,18255631,No,No,No,14
DiVine,Penola,16608483,No,No,No,14
Cactus Flower Cafe Navarre,Pensacola,17580453,No,No,No,216
McGuire's Irish Pub & Brewery,Pensacola,17580142,No,No,No,216
New Yorker Deli & Pizzeria,Pensacola,17580160,No,No,No,216
Tu-Do Vietnamese Restaurant,Pensacola,17580349,No,No,No,216
Carrabba's Italian Grill,Pensacola,17580412,No,No,No,216
Jaco's Bayfront Bar and Grille,Pensacola,17580590,No,No,No,216
The Tin Cow,Pensacola,17580704,No,No,No,216
Cactus Flower Cafe,Pensacola,17579928,No,No,No,216
Dharma Blue,Pensacola,17579992,No,No,No,216
Global Grill,Pensacola,17580030,No,No,No,216
Ichiban,Pensacola,17580074,No,No,No,216
The Fish House,Pensacola,17580020,No,No,No,216
Tuscan Oven,Pensacola,17580350,No,No,No,216
Flounders Chowder House,Pensacola,17580408,No,No,No,216
Hemingway's Island Grill,Pensacola,17579653,No,No,No,216
Native Cafe,Pensacola,17580476,No,No,No,216
Peg Leg Pete's,Pensacola,17580422,No,No,No,216
The Grand Marlin,Pensacola,17580539,No,No,No,216
Original Georgios Authentic Greek Food,Pensacola,17580511,No,No,No,216
Fisherman's Corner,Pensacola,17580021,No,No,No,216
Mad Cowes Cafe,Phillip Island,16604370,No,No,No,14
Rupes Burgers,Pocatello,17582467,No,No,No,216
Texas Roadhouse,Pocatello,17582668,No,No,No,216
Riverwalk Cafe,Pocatello,17582498,No,No,No,216
Royal Hotel,Pocatello,17582499,No,No,No,216
Buddy's Italian Restaurant,Pocatello,17582522,No,No,No,216
Butterburrs,Pocatello,17582524,No,No,No,216
Chang Garden,Pocatello,17582527,No,No,No,216
Fifth Street Bagelry,Pocatello,17582551,No,No,No,216
Goody's Deli,Pocatello,17582558,No,No,No,216
Grecian Key Restaurant,Pocatello,17582560,No,No,No,216
Outer Limits Fun Zone,Pocatello,17582677,No,No,No,216
Portneuf Valley Brewing,Pocatello,17582670,No,No,No,216
Sandpiper Restaurant & Lounge,Pocatello,17582625,No,No,No,216
Senor Iguanas,Pocatello,17582627,No,No,No,216
Sushi Family,Pocatello,17582700,No,No,No,216
Taste of India Nepal,Pocatello,17582664,No,No,No,216
Thai Paradise,Pocatello,17582682,No,No,No,216
The Bridge,Pocatello,17582669,No,No,No,216
Nosh Mahal,Pocatello,18491935,No,No,No,216
El Herradero,Pocatello,17582546,No,No,No,216
Barrett Junction Cafe,Potrero,17629582,No,No,No,216
Blue Point Grill,Princeton,17211719,No,No,No,216
Giovanni's Shrimp Truck,Rest of Hawaii,17144717,No,No,No,216
Kona Brewing Company,Rest of Hawaii,17143970,No,No,No,216
Leonard's Bakery,Rest of Hawaii,17142698,No,No,No,216
Coconuts Fish Cafe,Rest of Hawaii,17144991,No,No,No,216
Kihei Caffe,Rest of Hawaii,17142519,No,No,No,216
Monkeypod Kitchen by Merriman,Rest of Hawaii,17145408,No,No,No,216
Sansei Seafood Restaurant & Sushi Bar,Rest of Hawaii,17143336,No,No,No,216
Star Noodle,Rest of Hawaii,17145077,No,No,No,216
Aloha Mixed Plate,Rest of Hawaii,17141447,No,No,No,216
Gazebo,Rest of Hawaii,17142096,No,No,No,216
Hula Grill,Rest of Hawaii,17142297,No,No,No,216
Kimo's,Rest of Hawaii,17142535,No,No,No,216
Mama's Fish House,Rest of Hawaii,17142792,No,No,No,216
Marukame Udon,Rest of Hawaii,17145495,No,No,No,216
Yard House,Rest of Hawaii,17143950,No,No,No,216
Lulu's Waikiki,Rest of Hawaii,17142747,No,No,No,216
Duke's Waikiki,Rest of Hawaii,17141990,No,No,No,216
Eggs 'n Things,Rest of Hawaii,17144732,No,No,No,216
Roy's,Rest of Hawaii,17143282,No,No,No,216
Wailana Coffee House,Rest of Hawaii,17143705,No,No,No,216
The Lady & Sons,Savannah,17615915,No,No,No,216
Green Truck Pub,Savannah,17616487,No,No,No,216
Leopold's Ice Cream,Savannah,17615924,No,No,No,216
Mrs. Wilkes' Dining Room,Savannah,17615979,No,No,No,216
Zunzi's,Savannah,17616266,No,No,No,216
Moon River Brewing Company,Savannah,17615976,No,No,No,216
Pirates' House Restaurant,Savannah,17616025,No,No,No,216
B. Matthew's Eatery,Savannah,17615597,No,No,No,216
Crystal Beer Parlor,Savannah,17615740,No,No,No,216
Goose Feathers Cafe and Bakery,Savannah,17616203,No,No,No,216
Henry's,Savannah,17616590,No,No,No,216
Huey's On The River,Savannah,17615855,No,No,No,216
J. Christopher's,Savannah,17616348,No,No,No,216
Lulu's Chocolate Bar,Savannah,17616368,No,No,No,216
Rocks on the River,Savannah,17616400,No,No,No,216
SOHO South Cafe,Savannah,17616076,No,No,No,216
The Olde Pink House,Savannah,17616205,No,No,No,216
Vic's On The River,Savannah,17616222,No,No,No,216
The Crab Shack,Savannah,17616295,No,No,No,216
Tybee Island Social Club,Savannah,17616465,No,No,No,216
Sky On 57,Singapore,18483372,No,No,No,184
Cut By Wolfgang Puck,Singapore,18484349,No,No,No,184
Restaurant Andre,Singapore,18496057,No,No,No,184
Potato Head Folk,Singapore,18483389,No,No,No,184
Jaan,Singapore,18483222,No,No,No,184
Rhubarb Le Restaurant,Singapore,18483085,No,No,No,184
Al'frank Cookies,Singapore,18484423,No,No,No,184
Fratini La Trattoria,Singapore,18483714,No,No,No,184
Boufe Boutique Cafe,Singapore,18485469,No,No,No,184
The Refinery Singapore,Singapore,18479690,No,No,No,184
Chye Seng Huat Hardware,Singapore,18483224,No,No,No,184
Makansutra Gluttons Bay,Singapore,18493989,No,No,No,184
Colony,Singapore,18484464,No,No,No,184
Summer Pavilion,Singapore,18483051,No,No,No,184
The Lokal,Singapore,18482983,No,No,No,184
I Am,Singapore,18479742,No,No,No,184
Super Loco,Singapore,18482938,No,No,No,184
Artistry,Singapore,18483082,No,No,No,184
Bitters & Love,Singapore,18483446,No,No,No,184
Artichoke Cafe,Singapore,18483252,No,No,No,184
Archie's Waeside,Sioux City,17621616,No,No,No,216
Bob Roe's Pizza,Sioux City,17621696,No,No,No,216
